time;prices;quantities;prodID
1;2;0.384615385;1
2;1.75;0.58466256;1
3;1.6;0.713550247;1
4;1.5;0.914941664;1
5;1.45;1.0280574;1
6;1.4;1.205823442;1
7;1.35;1.329328335;1
8;1.3;1.457489879;1
9;1.25;1.621882542;1
10;1.2;1.838235294;1
11;1.15;2.105497116;1
12;1.1;2.457603559;1
1;1;1.538461538;2
2;0.5;7.162116362;2
3;1.05;1.656860438;2
4;1.1;1.701337804;2
5;1.12;1.723127139;2
6;1.15;1.787080488;2
7;1.18;1.739946058;2
8;0.6;6.842105263;2
9;1.2;1.759855189;2
10;1.25;1.694117647;2
11;1.28;1.699536094;2
12;1.3;1.75958598;2
1;1;1.538461538;3
2;0.95;1.983965751;3
3;0.9;2.255171151;3
4;0.85;2.849299298;3
5;0.4;13.50931677;3
6;0.8;3.69283429;3
7;0.75;4.307023806;3
8;0.72;4.751461988;3
9;0.7;5.171819331;3
10;0.4;16.54411765;3
11;0.7;5.682693746;3
12;0.65;7.038343919;3
1;0.5;12.30769231;4
2;0.55;11.83820886;4
3;0.6;10.14827018;4
4;0.65;9.744940795;4
5;0.7;8.822410952;4
6;0.75;8.403249584;4
7;0.7;9.888575064;4
8;0.65;11.65991903;4
9;0.7;10.34363866;4
10;0.75;9.411764706;4
11;0.75;9.900515327;4
12;0.8;9.292813456;4
